ko_1,ko_2,ctrl_1,ctrl_2
4249.35,3657.08,3396.57,1859.38
14633.91,14672.66,26089.35,16145.55
15512.74,15220.5,9478.02,6394.74
21972.82,22045.72,13370.69,8259.56
37699.29,33486.53,21693.95,14498
54909.24,46471.03,24725.66,13682.37
199846.93,196890.8,89843.75,85231.14
39577.57,40212.89,30278.85,18124.55
20991.65,18654.83,13415.61,6645.32
10966.73,10625.32,10329.74,5201.99
52966.79,45363.63,24141.86,16032.66
52315.81,51324.22,32952.65,19138.58
17381.75,16989.36,10065.44,6287.55
276.8,387.46,159.43,187.31
13901.99,12061.43,4350.02,2712.82
0.41,0,0,0
1.04,0.89,0,0.66
0.32,0.2,0,0
0,3.87,0,0
6.18,6.73,0.34,7.74
0,0,0,0.41
0,0,0,0.35
1.04,0.81,0.72,1.53
0,0,1.03,0
0.36,0,0,0
0,1.36,0,0
0,0.26,0,0
0,0.48,0,0
0.63,0,0,0
0,0,0,2.32
2.41,0.74,0,0
0.52,0.445,0,0.33
0.19,0,0,0
0,0,0,0.36
4.11,4.12,4.2,3.52
7.71,9.85,5.21,11.5
0.68,0.56,0,0.86
0.23,0.28,0,0.89
0,0,0.12,0
1.01,1.21,1.13,2.36
5.96,4.87,3.04,4.44
3.57,4.15,2.18,5.48
3.12,2.9,0.81,0.47
0.48,1.62,0.195,0.455
0,0.23,0,0.36
0,0,0,0.35
7.19,10.09,5.34,15.19
0.18,0.23,0,0
1.46,1.82,0.91,2.85
0,2.21,0,0
3.93,3.9,5.69,11.79
0,0,0,2.83
1.71,0,0,0
35.16,35.62,18.98,45.14
0.22,0,0,0
5.77,5.72,7.44,8.98
0,0.23,0,0
0.38,0,0,0
0.07,0.08,0.02,0.08
6.18,6.73,0.34,7.74
0.37,0.23,0,0.36
0,1.27,2.2,0
134.28,104.23,0,0
3.7,4.36,0.95,5.44
0,1.01,0,1.55
0.2,0,0,0
12.06,11.92,0,0
0.15,0.19,0,0
35.63,46.99,26.14,51.03
0.29,0,0.25,0.58
8.07,0,3.89,0
0,0.24,0,0
0,4.09,0,12.04
0.55,0.23,0,0.71
0,0,0,0.17
403.35,415.18,589.14,1177.25
0,0.04,0.22,0.11
0,0,0.11,0
4.76,5.66,13.22,12.43
10.91,2.1,0,0
2.33,0,0,1.89
0.18,0,0,0
3.23,2.12,0,0
3.61,0,0,0
10.22,13.27,14.69,20.03
1.69,1.91,2.38,2.96
0,0.66,0,0
0.2,0,0,0
0,0,0.5,1.45
1.48,0.83,0,0
0.1,0,0,0
13.35,15.19,12.78,8.56
0,0,0,1.56
0,1.27,0,0
12.21,4.09,5.43,0
2.35,1.85,3.4,3.85
3.5,0,0,3.78
0.11,0,0.56,0
0,5.67,0,0
0,0,0.34,0.39
1.04,0.89,0,0.66
73.18,71.29,80.48,130.23
6.18,6.73,0.34,7.74
1.65,0.45,0,0
18.45,13.8,18.34,13.53
0,0,0.73,0
0.74,0.46,0,1.08
11.32,0,0,0
6.18,6.73,0.34,7.74
0,0,0,0.38
0.51,0.26,0,1.89
0.12,0,0,0
