source	target	interaction	splice_status	weight	shade	status
JDP2	JDP2_PF00170	Common	normal	2	0	solid
JDP2_PF00170	JUND_PF00170	Common	normal	2	0	arrow
JUND_PF00170	JUND	Common	normal	2	0	solid
JDP2_PF00170	JUN_PF00170	Common	normal	1.89285714285714	-0.0357142857142857	arrow
JUN	JUN_PF00170	Common	normal	0.166666666666667	0	solid
JDP2_PF00170	ATF2_PF00170	Common	normal	1.9047619047619	0.0476190476190476	arrow
ATF2	ATF2_PF00170	Common	normal	0.0833333333333333	0.0357142857142857	solid
INPPL1	INPPL1_PF00017	Network_A	normal	1	1	solid
INPPL1_PF00017	STAT2_PF02864(ENST00000314128)	Network_A	spliced	1	1	arrow
STAT2_PF02864(ENST00000314128)	STAT2	Network_A	normal	1	1	solid
INPPL1_PF00017	STAT2_PF01017(ENST00000314128)	Network_A	spliced	1	1	arrow
STAT2_PF01017(ENST00000314128)	STAT2	Network_A	normal	1	1	solid
INPPL1_PF00017	STAT2_PF00017(ENST00000314128)	Network_A	spliced	1	1	arrow
STAT2_PF00017(ENST00000314128)	STAT2	Network_A	normal	1	1	solid
NEK6	NEK6_PF00069(ENST00000320246_ENST00000444973)	Network_A	normal	1	1	solid
NEK6_PF00069(ENST00000320246_ENST00000444973)	ATF4_PF00170	Network_A	spliced	1	1	arrow
ATF4	ATF4_PF00170	Common	normal	0.0476190476190476	0.0238095238095238	solid
LASP1	LASP1_PF14604	Network_A	normal	0.988095238095238	1	solid
LASP1_PF14604	EHMT2_PF12796(ENST00000375537)	Network_A	spliced	0.988095238095238	1	arrow
EHMT2_PF12796(ENST00000375537)	EHMT2	Network_A	normal	0.988095238095238	1	solid
STAT2	STAT2_PF12188(ENST00000314128)	Network_A	normal	0.857142857142857	1	solid
STAT2_PF12188(ENST00000314128)	CREBBP_PF02135	Network_A	spliced	0.857142857142857	1	arrow
CREBBP	CREBBP_PF02135	Common	normal	1.82142857142857	-0.178571428571429	solid
ICK	ICK_PF00069	Common	normal	2	0	solid
ICK_PF00069	SMAD1_PF03166	Common	normal	2	0	arrow
SMAD1	SMAD1_PF03166	Common	normal	1.92857142857143	0.0714285714285714	solid
ICK_PF00069	CDK1_PF00069(ENST00000395284)	Network_A	spliced	0.94047619047619	1	arrow
CDK1	CDK1_PF00069(ENST00000395284)	Network_A	normal	1	1	solid
HSP90AA1	HSP90AA1_PF02518	Network_A	normal	0.916666666666667	1	solid
HSP90AA1_PF02518	CDK4_PF00069(ENST00000257904)	Network_A	spliced	0.916666666666667	1	arrow
CDK4	CDK4_PF00069(ENST00000257904)	Network_A	normal	0.988095238095238	1	solid
MAFF	MAFF_PF03131	Common	normal	2	0	solid
MAFF_PF03131	ATF3_PF00170	Common	normal	1.6547619047619	0.345238095238095	arrow
ATF3_PF00170	ATF3	Common	normal	1.6547619047619	0.345238095238095	solid
MAFF_PF03131	BACH2_PF03131	Common	normal	2	0	arrow
BACH2_PF03131	BACH2	Common	normal	2	0	solid
MAFF_PF03131	NFE2L2_PF03131	Common	normal	2	0	arrow
NFE2L2_PF03131	NFE2L2	Common	normal	2	0	solid
MAFF_PF03131	FOS_PF00170	Common	normal	1.96428571428571	0.0357142857142857	arrow
FOS_PF00170	FOS	Common	normal	1.96428571428571	0.0357142857142857	solid
MAFF_PF03131	MAFG_PF03131	Common	normal	2	0	arrow
MAFG_PF03131	MAFG	Common	normal	2	0	solid
SMAD1_PF03166	CDK8_PF00069	Common	normal	1.92857142857143	0.0714285714285714	arrow
CDK8	CDK8_PF00069	Common	normal	1.92857142857143	0.0714285714285714	solid
MAP2K2	MAP2K2_PF00069	Network_A	normal	0.988095238095238	1	solid
MAP2K2_PF00069	MAPK8_PF00069	Network_A	normal	0.988095238095238	1	arrow
MAPK8	MAPK8_PF00069	Network_A	normal	1	1	solid
CDK4_PF00069(ENST00000257904)	NCOA2_PF00989	Network_A	spliced	0.988095238095238	1	arrow
NCOA2_PF00989	NCOA2	Common	normal	1.01190476190476	-0.988095238095238	solid
CDK1_PF00069(ENST00000395284)	CCND1_PF00134(ENST00000227507)	Network_A	spliced	0.94047619047619	1	arrow
CCND1	CCND1_PF00134(ENST00000227507)	Network_A	normal	1	1	solid
CDK1_PF00069(ENST00000395284)	FOXA1_PF00250	Network_A	spliced	1	1	arrow
FOXA1_PF00250	FOXA1	Network_A	normal	1	1	solid
CDK1_PF00069(ENST00000395284)	TP73_PF00870	Network_A	spliced	1	1	arrow
TP73	TP73_PF00870	Network_B	normal	0.0119047619047619	-1	solid
CDK1_PF00069(ENST00000395284)	PPP1CA_PF00149	Network_A	spliced	0.80952380952381	1	arrow
PPP1CA	PPP1CA_PF00149	Common	normal	1.07142857142857	0.857142857142857	solid
PCBD1	PCBD1_PF01329(ENST00000299299)	Network_A	normal	1	1	solid
PCBD1_PF01329(ENST00000299299)	HNF1B_PF04814	Network_A	spliced	1	1	arrow
HNF1B_PF04814	HNF1B	Network_A	normal	1	1	solid
CDK8_PF00069	SREBF1_PF00010	Common	normal	1.92857142857143	0.0714285714285714	arrow
SREBF1_PF00010	SREBF1	Common	normal	1.92857142857143	0.0714285714285714	solid
RBBP7	RBBP7_PF12265	Network_A	normal	0.928571428571429	1	solid
RBBP7_PF12265	MTA1_PF17226(ENST00000405646)	Network_A	spliced	0.928571428571429	1	arrow
MTA1_PF17226(ENST00000405646)	MTA1	Network_A	normal	0.928571428571429	1	solid
CCND1_PF00134(ENST00000227507)	RB1_PF08934	Network_A	spliced	1	1	arrow
RB1	RB1_PF08934	Network_A	normal	1	1	solid
GATAD2B	GATAD2B_PF16563	Common	normal	2	0	solid
GATAD2B_PF16563	MBD2_PF14048	Common	normal	2	0	arrow
MBD2_PF14048	MBD2	Common	normal	2	0	solid
CREBBP_PF02135	STAT1_PF12162(ENST00000361099)	Network_A	spliced	1	1	arrow
STAT1_PF12162(ENST00000361099)	STAT1	Network_A	normal	1	1	solid
CREBBP_PF02135	EPAS1_PF08778	Common	normal	1.82142857142857	-0.178571428571429	arrow
EPAS1_PF08778	EPAS1	Common	normal	1.82142857142857	-0.178571428571429	solid
MTA1	MTA1_PF00320(ENST00000405646)	Network_A	normal	0.964285714285714	1	solid
MTA1_PF00320(ENST00000405646)	GATAD2B_PF00320	Network_A	spliced	0.964285714285714	1	arrow
GATAD2B_PF00320	GATAD2B	Network_A	normal	0.964285714285714	1	solid
SAMD4A	SAMD4A_PF00536	Network_A	normal	1	1	solid
SAMD4A_PF00536	INPPL1_PF00536	Network_A	normal	1	1	arrow
INPPL1_PF00536	INPPL1	Network_A	normal	1	1	solid
RB1_PF08934	E2F4_PF16421	Network_A	normal	1	1	arrow
E2F4_PF16421	E2F4	Network_A	normal	1	1	solid
MAPK8_PF00069	NCOA3_PF00989	Network_A	normal	1	1	arrow
NCOA3_PF00989	NCOA3	Network_A	normal	1	1	solid
MAPK8_PF00069	JUNB_PF00170	Network_A	normal	1	1	arrow
JUNB	JUNB_PF00170	Common	normal	0.142857142857143	-0.0476190476190476	solid
MAPK8_PF00069	HSP90AA1_PF00183	Network_A	normal	0.630952380952381	1	arrow
HSP90AA1_PF00183	HSP90AA1	Network_A	normal	0.630952380952381	1	solid
MAML3	MAML3_PF09596	Common	normal	1.80952380952381	0.0714285714285714	solid
MAML3_PF09596	RBPJ_PF09271	Common	normal	1.80952380952381	0.0714285714285714	arrow
RBPJ_PF09271	RBPJ	Common	normal	1.80952380952381	0.0714285714285714	solid
ATF3	ATF3_PF07716	Common	normal	1.88095238095238	0	solid
ATF3_PF07716	BATF_PF07716	Common	normal	1.57142857142857	0.0952380952380952	arrow
BATF_PF07716	BATF	Common	normal	1.57142857142857	0.0952380952380952	solid
ATF3_PF07716	CEBPB_PF07716	Common	normal	1.88095238095238	0	arrow
CEBPB_PF07716	CEBPB	Common	normal	1.88095238095238	0	solid
E2F6	E2F6_PF02319	Common	normal	2	0	solid
E2F6_PF02319	TFDP1_PF02319	Common	normal	2	0	arrow
TFDP1	TFDP1_PF02319	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP1_PF08781	Common	normal	2	0	arrow
TFDP1_PF08781	TFDP1	Common	normal	2	0	solid
CREBBP	CREBBP_PF00439	Common	normal	0.976190476190476	0.928571428571428	solid
CREBBP_PF00439	HNRNPL_PF00076	Common	normal	0.55952380952381	0.392857142857143	arrow
HNRNPL	HNRNPL_PF00076	Common	normal	2	0	solid
CREBBP_PF00439	RBBP7_PF00400	Common	normal	0.976190476190476	0.928571428571428	arrow
RBBP7	RBBP7_PF00400	Common	normal	0.976190476190476	0.928571428571428	solid
CREBBP	CREBBP_PF02172	Common	normal	2	0	solid
